country;continent;HDGroup;InequalityIncome2010;InequalityIncome2011;InequalityIncome2012;InequalityIncome2013;InequalityIncome2014;InequalityIncome2015;InequalityIncome2016;InequalityIncome2017;InequalityIncome2018;InequalityIncome2019;InequalityIncome2020;InequalityIncome2021
Belize;America;Medium;;37,92633;37,92633;37,92633;37,92633;37,92633;37,92633;37,92633;37,92633;37,92633;37,92633;37,92633
Bolivia;America;Medium;38,157178;33,642938;35,305419;35,789912;35,394263;34,64197;33,497255;32,212262;29,133537;26,863258;26,863258;26,863258
Brazil;America;High;41,236103;40,273233;40,655871;39,532759;38,620331;38,603968;40,538964;40,82554;41,636454;41,306376;41,306376;41,306376
Barbados;America;High;33,58537775;33,58537775;33,58537775;33,58537775;33,58537775;33,58537775;33,58537775;33,58537775;33,58537775;33,58537775;33,58537775;33,58537775
Brunei;Asia;Very High;;;;;;;;;;;;
Bhutan;Asia;Medium;25,09595;25,09595;21,00062092;21,00062092;21,00062092;21,00062092;21,00062092;19,95514103;19,95514103;19,95514103;19,95514103;19,95514103
Botswana;Africa;Medium;55,511;55,511;55,511;55,511;55,511;;;;;;;
Central African Republic;Africa;Low;49,19459;49,19459;49,19459;49,19459;49,19459;49,19459;49,19459;49,19459;49,19459;49,19459;49,19459;49,19459
Canada;America;Very High;17,394;17,394;17,394;18,221;18,221;17,752;16,83;17,077;17,077;17,077;17,077;17,077
Switzerland;Europe;Very High;;13,24658;12,32452;11,10079;12,19519;12,19519;14,48262;14,48262;14,77567;14,77567;15,58172;15,58172
Chile;America;Very High;31,400611;30,182054;30,182054;29,810621;29,810621;28,209983;28,209983;28,273047;28,273047;28,273047;28,273047;28,273047
China;Asia;High;24,11692794;24,11692794;23,31946951;27,391;27,391;27,391;27,391;27,391;27,391;27,391;27,391;27,391
Ivory Coast;Africa;Medium;34,39171;34,39171;27,38935;27,38935;27,38935;27,38935;27,04145;27,04145;27,04145;27,04145;27,04145;27,04145
Cameroon;Africa;Medium;;23,11988;23,11988;23,1;35,86472;35,86472;35,86472;35,86472;34,98911;34,98911;34,98911;34,98911
The Democratic Republic of the Congo;Africa;Low;31,15031;31,15031;31,15031;31,15031;28,21161;28,21161;28,21161;27,63249;27,63249;27,63249;27,63249;27,63249
Congo;Africa;Medium;27,436;27,436;30,692;30,692;30,99925;30,99925;30,99925;30,99925;30,99925;30,99925;30,99925;30,99925
Colombia;America;High;41,808695;40,37189;39,490976;39,510891;39,274136;37,2729;36,781456;35,52712;36,445861;37,712196;37,712196;37,712196
Comoros;Africa;Medium;;;56,01338;56,01338;56,01338;56,01338;56,01338;56,01338;56,01338;56,01338;56,01338;56,01338
Cabo Verde;Africa;Medium;28,04;28,04;28,04;;;;;;;;;
Costa Rica;America;Very High;33,397656;34,333636;34,284901;35,154184;34,245561;33,923669;34,221197;33,598361;33,466884;33,41354;33,41354;33,41354
Cuba;America;High;;;;;;;;;;;;
Cyprus;Asia;Very High;13,60216;14,88187;14,97115;15,90818;17,50429;17,50429;16,40136;14,28251;13,09041;13,09041;13,03255;13,03255
Czechia;Europe;Very High;10,69114;11,31482;10,97887;11,07131;10,73835;10,73835;10,43108;9,20949;8,71736;8,71736;8,7672;8,7672
Germany;Europe;Very High;14,54559;14,81088;14,0549;14,75045;17,46195;17,46195;15,73535;15,73535;15,73535;12,46003;12,46003;12,46003
Djibouti;Africa;Low;21,70879;21,70879;30,03165892;27,74495175;27,74495175;27,74495175;27,74495175;27,74495175;27,74495175;27,74495175;27,74495175;27,74495175
Dominica;America;High;;;;;;;;;;;;
Denmark;Europe;Very High;10,95581;13,32469;14,3998;12,79628;13,46361;12,26297;11,48358;11,39151;10,88624;10,88624;10,05068;10,05068
Dominican Republic;America;High;31,930338;32,487814;30,647516;32,167729;28,640709;29,785432;30,369914;26,093622;27,802282;25,628189;25,628189;25,628189
Algeria;Africa;High;;;;11,36364;11,36364;11,36364;11,36364;11,36364;11,36364;11,5052;11,5052;11,5052
Ecuador;America;High;34,619918;31,638398;31,894203;32,026526;29,851789;31,322467;30,297652;29,896735;30,623973;31,050541;31,050541;31,050541
Egypt;Africa;High;;;36,503;36,503;36,503;36,503;36,503;36,503;36,503;36,503;36,503;36,503
Eritrea;Africa;Low;;;;;;;;;;;;
Spain;Europe;Very High;19,74687;22,14397;23,90812;21,26914;22,84977;22,54773;22,14727;21,86766;19,10714;19,10714;19,31195;19,31195
Estonia;Europe;Very High;17,71542;17,37153;18,59338;18,62724;20,99342;20,99342;18,73339;15,46027;14,34588;14,34588;14,98963;14,98963
